@RELATION CLASSES

@ATTRIBUTE atb1 NUMERIC
@ATTRIBUTE atb2 NUMERIC
@ATTRIBUTE atb3 NUMERIC
@ATTRIBUTE atb4 NUMERIC
@ATTRIBUTE atb5 NUMERIC
@ATTRIBUTE atb6 NUMERIC
@ATTRIBUTE atb7 NUMERIC
@ATTRIBUTE atb8 NUMERIC

@ATTRIBUTE class {class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10}

@DATA
1.182266,2.542986,2.210699,5.404221,0.075472,0.264151,2.225450,4.862174,class_3
4.162568,7.335040,4.056196,4.975271,3.529167,5.012400,3.407225,5.414056,class_3
0.090588,0.299067,1.006383,3.653905,0.065789,0.265015,0.068505,0.262344,class_3
2.364465,5.264028,3.019499,4.008995,5.862069,9.393777,2.375522,3.602389,class_3
1.779006,7.427300,1.326053,6.216562,0.459854,3.644128,0.675130,4.965321,class_3
1.388041,4.191147,0.931713,3.485249,0.038136,0.191524,0.914530,4.039792,class_3
1.481108,3.832155,0.693287,4.243421,0.036290,0.187012,0.744988,5.849551,class_3
1.837333,3.808439,1.386710,3.649353,0.063559,0.291450,2.373134,8.671323,class_3
1.188707,3.911927,1.723498,5.996204,0.496139,2.411160,1.833516,4.761186,class_3
4.109418,4.817207,4.021858,4.709259,3.992063,4.423057,5.408829,5.866054,class_3
1.635989,5.930520,1.706199,6.010094,0.009524,0.097124,0.585704,4.476267,class_3
2.425978,4.028370,2.261719,3.217060,0.890909,4.563383,2.076923,3.847210,class_3
0.683908,3.188715,1.244764,6.319299,0.120000,0.390214,1.138024,5.455928,class_3
2.911337,4.932626,1.675000,2.573837,6.698473,8.810815,2.332253,3.572107,class_3
2.747653,3.566726,3.640049,4.837346,2.675824,4.238672,4.526316,5.769432,class_3
1.385350,5.809714,3.154135,7.153529,1.034188,5.771180,1.011895,5.371962,class_3
1.348936,4.912376,1.100414,3.749570,6.543624,11.378175,0.952482,3.210802,class_3
0.708155,3.364262,0.761155,3.677364,0.108209,0.322432,0.743849,3.661048,class_3
1.165365,3.829028,0.545455,2.849342,0.060606,0.253986,0.125547,0.356796,class_3
1.107692,4.707353,0.937155,3.711011,0.010563,0.102234,1.714078,4.111768,class_3
4.591045,6.251441,5.003021,6.952579,4.900901,4.715233,4.671642,7.303760,class_3
2.779661,3.539851,3.244012,4.244621,6.122222,8.554177,4.082803,7.431180,class_3
1.101626,1.914634,0.739177,1.871448,0.587379,0.696479,0.946888,2.576401,class_3
4.100746,7.816525,2.901028,4.642956,4.306061,8.831776,3.514523,8.754576,class_3
0.911585,2.667424,0.894336,2.793696,0.070833,0.256546,0.591264,1.308147,class_3
1.668790,5.065669,1.439421,4.709311,0.039007,0.219371,1.586301,5.750012,class_3
1.749611,7.253324,1.830724,6.672058,0.025641,0.158062,0.475254,4.022972,class_3
0.379310,1.354183,0.100325,0.603023,0.016878,0.128813,0.046259,0.421613,class_3
0.638241,3.019864,0.399020,2.563813,0.317797,1.654431,0.524976,3.801723,class_3
1.174004,4.402819,0.944573,3.952568,0.166667,0.533594,0.544618,2.596365,class_3
0.443203,3.811557,0.412632,1.155421,0.415842,6.146749,0.591048,4.714602,class_3
3.017241,7.730780,3.105201,7.141067,3.000000,6.230263,2.441830,7.107086,class_3
0.539216,2.669441,0.769084,2.522063,0.063063,0.293450,0.102433,0.323642,class_3
1.527100,4.203167,1.626667,5.978160,0.199134,0.529804,1.462277,7.343727,class_3
